JVSITEID;txtMS;dtmPlan;dtmForecast;dtmActual;
JP9084;MS15;2006-08-25;2006-08-30;2006-08-30;
JP9084;MS10;2006-05-30;2006-06-30;2006-06-30;
JP9084;MS05;2005-12-06;2005-12-06;2005-12-06;
JP9059;MS10;2006-08-31;2007-03-09;2007-03-09;
JP9059;MS05;2006-01-19;2006-01-19;2006-01-19;
JP9069;MS11;2006-04-24;2006-04-24;2006-04-24;
JP9069;MS18;2006-05-22;2006-06-30;2006-06-30;
JP9069;MS15;2006-06-16;2006-08-16;2006-08-16;
JP9069;MS10;2006-03-17;2006-03-17;2006-03-17;
JP9082;MS13;2006-06-09;2006-06-08;2006-06-08;
JP9080;MS11;2006-04-24;2006-04-24;2006-04-24;
JP9068;MS18;2006-09-18;2007-05-25;2007-05-25;
JP9083;MS11;2006-11-03;2006-12-18;2006-12-18;
JP9083;MS18;2006-12-01;2007-02-28;2007-02-28;
JP9083;MS13;2006-12-14;2007-03-28;2007-03-28;
JP9083;MS15;2006-12-28;2007-03-30;2007-03-28;
JP9060;MS11;2006-09-08;2006-11-20;2006-11-20;
JP9060;MS13;2006-10-19;2007-03-26;2007-03-26;
JP9060;MS15;2006-11-02;2007-03-28;2007-03-28;
JP9064;MS05;2005-12-16;2005-12-16;2005-12-16;
JP9079;MS18;2006-10-18;2006-12-12;2006-12-12;
JP9079;MS13;2006-10-31;2006-12-16;2006-12-16;
JP9079;MS05;2005-10-14;2005-10-14;2005-10-14;
JP9062;MS11;2006-11-17;2007-01-08;2007-01-08;
JP9062;MS13;2007-05-11;2007-05-11;2007-05-11;
JP9062;MS10;2006-11-03;2006-12-18;2006-12-18;
JP9071;MS18;2006-11-17;2006-12-08;2006-12-08;
JP9071;MS10;2006-09-29;2006-09-29;2006-09-29;
JP9057;MS13;2006-09-01;2006-09-08;2006-09-08;
JP9058;MS10;2006-10-31;2006-12-21;2006-12-21;
JP9058;MS11;2006-11-14;2007-01-04;2007-01-04;
JP9058;MS13;2006-12-27;2007-03-29;2007-03-29;
JP9058;MS15;2007-01-10;2007-03-30;2007-03-30;
JP9058;MS05;2006-01-09;2006-01-09;2006-01-09;
JP9034;MS18;2006-05-31;2006-06-09;2006-06-09;
JP9034;MS15;2006-07-03;2006-07-04;2006-07-04;
JA9016;MS13;2006-04-24;2006-04-24;2006-04-24;
JA9016;MS10;2005-12-10;2005-12-10;2005-12-10;
JA9016;MS11;2005-09-19;2005-09-19;2005-09-19;
JS9570;MS18;2006-06-12;2006-06-30;2006-06-30;
JS9570;MS13;2006-06-26;2006-08-16;2006-08-16;
JS9586;MS13;2006-08-23;2006-10-13;2006-10-13;
JA9004;MS15;2006-06-16;2006-12-14;2006-12-14;
JA9007;MS10;2005-12-02;2005-12-02;2005-12-02;
JA9007;MS11;2006-03-25;2006-03-25;2006-03-25;
JA9007;MS18;2006-04-13;2006-04-13;2006-04-13;
JA9007;MS15;2006-06-12;2006-06-01;2006-06-01;
JA9025;MS05;2005-10-11;2005-10-11;2005-10-11;
JA9025;MS15;2006-06-09;2006-05-25;2006-05-25;
JA9033;MS10;2006-02-21;2006-02-21;2006-02-21;
JA9033;MS15;2006-06-09;2006-05-29;2006-05-29;
JA9039;MS05;2005-10-11;2005-10-11;2005-10-11;
JA9039;MS15;2006-06-09;2006-05-30;2006-05-30;
JA9006;MS11;2006-04-19;2006-04-19;2006-04-19;
JS9006;MS10;2004-10-29;2004-10-29;2004-10-29;
JS9029;MS10;2005-01-20;2005-01-20;2005-01-20;
JS9029;MS18;2005-03-08;2005-03-08;2005-03-08;
JS9035;MS13;2005-03-22;2005-03-22;2005-03-22;
JS9035;MS05;2004-11-19;2004-11-19;2004-11-19;
JS9035;MS11;2005-02-23;2005-02-23;2005-02-23;
JS9063;MS13;2004-11-30;2004-11-30;2004-11-30;
JS9063;MS05;2004-09-16;2004-09-16;2004-09-16;
JS9063;MS10;2004-11-04;2004-11-04;2004-11-04;
JS9106;MS13;2005-01-11;2005-01-11;2005-01-11;
JS9106;MS10;2004-12-15;2004-12-15;2004-12-15;
JS9018;MS15;2005-03-07;2005-03-07;2005-03-07;
JS9023;MS13;2005-03-03;2005-03-03;2005-03-03;
JS9023;MS10;2004-12-24;2004-12-24;2004-12-24;
JS9023;MS11;2005-01-15;2005-01-15;2005-01-15;
JS9023;MS18;2005-02-25;2005-02-25;2005-02-25;
JS9127;MS05;2004-11-17;2004-11-17;2004-11-17;
JS9127;MS18;2005-03-24;2005-03-24;2005-03-24;
JS9129;MS13;2006-07-21;2006-09-29;2006-09-29;
JS9129;MS11;2006-06-19;2006-07-24;2006-07-24;
JS9096;MS15;2005-04-02;2005-04-02;2005-04-02;
JS9049;MS11;2005-06-27;2005-06-27;2005-06-27;
JM9081;MS05;2004-10-28;2004-10-28;2004-10-28;
JM9066;MS15;2005-07-04;2005-07-04;2005-07-04;
JM9066;MS05;2004-10-27;2004-10-27;2004-10-27;
JM9132;MS05;2004-10-27;2004-10-27;2004-10-27;
JM9132;MS18;2005-03-31;2005-03-31;2005-03-31;
JM9131;MS05;2004-11-12;2004-11-12;2004-11-12;
JM9136;MS18;2005-06-03;2005-06-03;2005-06-03;
JS9014;MS11;2005-06-10;2005-06-10;2005-06-10;
JS9014;MS10;2005-06-10;2005-06-10;2005-06-10;
JM9054;MS15;2005-05-13;2005-05-13;2005-05-13;
JM9021;MS15;2005-06-09;2005-06-09;2005-06-09;
JM9021;MS05;2004-10-29;2004-10-29;2004-10-29;
JM9021;MS10;2005-03-04;2005-03-04;2005-03-04;
JM9021;MS11;2005-04-04;2005-04-04;2005-04-04;
JM9021;MS18;2005-04-22;2005-04-22;2005-04-22;
JS9053;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9053;MS18;2005-07-01;2005-07-05;2005-07-01;
JS9148;MS13;2005-05-04;2005-05-04;2005-05-04;
JA9006;MS18;2006-05-05;2006-05-05;2006-05-05;
JA9006;MS15;2006-08-03;2006-06-01;2006-06-01;
JA9040;MS13;2006-05-26;2006-08-22;2006-08-22;
JA9040;MS11;2006-04-20;2006-04-20;2006-04-20;
JA9040;MS18;2006-05-15;2006-05-15;2006-05-15;
JA9044;MS10;2006-06-12;2006-07-14;2006-07-14;
JA9044;MS11;2006-06-14;2006-07-14;2006-07-14;
JA9044;MS18;2006-06-30;2006-07-21;2006-07-21;
JA9038;MS13;2006-09-01;2006-06-22;2006-06-22;
JA9038;MS10;2006-02-24;2006-02-24;2006-02-24;
JA9038;MS18;2006-05-17;2006-05-17;2006-05-17;
JA9027;MS13;2006-06-01;2006-08-19;2006-08-19;
JA9027;MS10;2006-01-31;2006-01-31;2006-01-31;
JA9022;MS05;2005-10-20;2005-10-20;2005-10-20;
JA9022;MS11;2006-04-21;2006-04-24;2006-04-21;
JA9023;MS15;2006-09-19;2006-07-25;2006-07-25;
JA9023;MS11;2006-04-20;2006-04-20;2006-04-20;
JA9023;MS18;2006-05-08;2006-05-07;2006-05-08;
JA9003;MS15;2006-06-28;2006-07-19;2006-07-19;
JA9010;MS13;2006-06-26;2006-08-18;2006-08-18;
JA9010;MS18;2006-06-10;2006-06-09;2006-06-09;
JA9032;MS05;2005-12-22;2005-12-22;2005-12-22;
JA9032;MS18;2006-06-19;2006-06-19;2006-06-19;
JA9032;MS15;2006-07-28;2006-08-23;2006-08-23;
JA9013;MS13;2006-08-24;2006-08-17;2006-08-17;
JA9013;MS10;2006-01-23;2006-01-23;2006-01-23;
JA9013;MS11;2006-04-19;2006-04-19;2006-04-19;
JA9047;MS15;2006-09-13;2006-08-21;2006-08-21;
JA9028;MS11;2006-04-24;2006-04-24;2006-04-24;
JA9017;MS05;2005-11-10;2005-11-10;2005-11-10;
JA9017;MS10;2006-01-30;2006-01-30;2006-01-30;
JA9017;MS18;2006-06-07;2006-05-30;2006-05-30;
JA9029;MS13;2006-06-28;2006-08-25;2006-08-25;
JA9029;MS05;2005-11-18;2005-11-18;2005-11-18;
JA9029;MS10;2006-01-30;2006-01-30;2006-01-30;
JA9029;MS11;2006-05-15;2006-05-15;2006-05-15;
JA9029;MS18;2006-06-12;2006-07-21;2006-07-21;
JA9024;MS13;2006-06-01;2006-08-23;2006-08-23;
JA9024;MS10;2006-02-15;2006-02-15;2006-02-15;
JA9024;MS15;2006-06-15;2006-08-26;2006-08-26;
JA9030;MS13;2006-07-10;2006-08-17;2006-08-17;
JA9030;MS05;2005-11-04;2005-11-04;2005-11-04;
JA9030;MS10;2006-02-16;2006-02-16;2006-02-16;
JA9030;MS18;2006-06-26;2006-06-02;2006-06-02;
JA9030;MS15;2006-07-24;2006-08-19;2006-08-19;
JA9045;MS15;2006-08-30;2006-08-22;2006-08-22;
JA9045;MS13;2006-08-16;2006-08-17;2006-08-17;
JP9059;MS13;2007-06-15;2007-06-15;2007-06-15;
JP9069;MS05;2005-10-25;2005-10-25;2005-10-25;
JP9082;MS11;2006-04-18;2006-04-18;2006-04-18;
JP9082;MS18;2006-05-26;2006-06-07;2006-06-07;
JP9082;MS15;2006-06-23;2006-06-13;2006-06-13;
JP9082;MS05;2005-10-19;2005-10-19;2005-10-19;
JP9080;MS13;2006-09-01;2006-08-25;2006-08-25;
JP9080;MS15;2006-09-15;2006-08-28;2006-08-28;
JP9060;MS18;2006-10-06;2007-01-19;2007-01-19;
JP9060;MS10;2006-08-31;2006-11-17;2006-11-17;
JP9060;MS05;2006-01-06;2006-01-06;2006-01-06;
JP9064;MS10;2007-10-25;2007-06-25;2007-06-25;
JP9064;MS18;2008-02-01;2008-12-17;2008-12-17;
JP9064;MS13;2007-09-20;2009-05-19;2009-05-19;
JP9064;MS15;2007-10-04;2009-08-20;2009-08-20;
JP9079;MS11;2006-09-20;2006-11-13;2006-11-13;
JP9079;MS15;2006-11-14;2007-01-19;2007-01-10;
JP9071;MS11;2006-10-20;2006-10-11;2006-10-06;
JP9057;MS10;2006-03-02;2006-03-02;2006-03-02;
JP9057;MS11;2006-05-09;2006-05-09;2006-05-09;
JP9057;MS05;2006-01-31;2006-01-31;2006-01-31;
JP9058;MS18;2006-12-12;2007-03-16;2007-03-16;
JP9034;MS05;2005-08-16;2005-08-16;2005-08-16;
JP9034;MS11;2006-04-18;2006-04-18;2006-04-18;
JA9016;MS15;2005-10-25;2005-10-25;2005-10-25;
JS9570;MS10;2006-03-03;2006-03-03;2006-03-03;
JS9586;MS10;2006-05-19;2006-06-19;2006-06-19;
JA9004;MS10;2006-05-08;2006-10-27;2006-10-27;
JA9007;MS13;2006-05-29;2006-05-29;2006-05-29;
JA9007;MS05;2005-10-06;2005-10-06;2005-10-06;
JA9012;MS13;2006-06-02;2006-05-30;2006-05-30;
JA9012;MS11;2006-05-08;2006-05-08;2006-05-08;
JA9012;MS15;2006-06-16;2006-06-01;2006-06-01;
JA9025;MS13;2006-05-26;2006-05-24;2006-05-24;
JA9025;MS10;2006-02-20;2006-02-20;2006-02-20;
JA9033;MS05;2005-10-06;2005-10-06;2005-10-06;
JA9033;MS18;2006-04-21;2006-04-27;2006-04-21;
JA9039;MS11;2006-03-27;2006-03-27;2006-03-27;
JA9006;MS13;2006-05-18;2006-05-30;2006-05-30;
JA9006;MS10;2005-12-09;2005-12-09;2005-12-09;
JS9006;MS13;2004-12-09;2004-12-09;2004-12-09;
JS9006;MS18;2004-12-04;2004-12-04;2004-12-04;
JS9029;MS13;2005-03-18;2005-03-18;2005-03-18;
JS9029;MS05;2004-11-12;2004-11-12;2004-11-12;
JS9063;MS15;2005-03-07;2005-03-07;2005-03-07;
JS9063;MS11;2004-11-12;2004-11-12;2004-11-12;
JS9106;MS05;2004-09-10;2004-09-10;2004-09-10;
JS9106;MS18;2004-12-20;2004-12-20;2004-12-20;
JS9106;MS15;2005-03-07;2005-03-07;2005-03-07;
JS9018;MS05;2004-09-10;2004-09-10;2004-09-10;
JS9023;MS15;2005-03-30;2005-03-30;2005-03-30;
JS9023;MS05;2004-05-28;2004-05-28;2004-05-28;
JS9127;MS15;2005-06-21;2005-06-22;2005-06-21;
JS9127;MS13;2005-05-13;2005-05-13;2005-05-13;
JS9127;MS11;2005-03-14;2005-03-14;2005-03-14;
JS9129;MS05;2004-12-10;2004-12-10;2004-12-10;
JS9129;MS18;2006-07-03;2006-09-22;2006-09-25;
JS9049;MS15;2005-09-11;2005-09-12;2005-09-11;
JS9049;MS13;2005-08-04;2005-08-04;2005-08-04;
JS9049;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9049;MS10;2005-06-17;2005-06-17;2005-06-17;
JM9081;MS15;2005-08-04;2005-08-04;2005-08-04;
JM9081;MS13;2005-07-27;2005-07-27;2005-07-27;
JM9081;MS10;2005-03-31;2005-03-31;2005-03-31;
JM9112;MS15;2005-06-07;2005-06-07;2005-06-07;
JM9112;MS13;2005-05-25;2005-05-25;2005-05-25;
JM9112;MS11;2005-03-24;2005-03-24;2005-03-24;
JM9112;MS18;2005-04-15;2005-04-15;2005-04-15;
JM9066;MS11;2005-03-04;2005-03-04;2005-03-04;
JM9132;MS13;2005-05-13;2005-05-13;2005-05-13;
JM9132;MS11;2005-03-18;2005-03-18;2005-03-18;
JM9131;MS10;2005-03-24;2005-03-24;2005-03-24;
JM9131;MS18;2005-05-20;2005-05-20;2005-05-20;
JM9136;MS11;2005-05-06;2005-05-06;2005-05-06;
JM9139;MS15;2005-06-14;2005-06-14;2005-06-14;
JM9139;MS10;2005-03-04;2005-03-04;2005-03-04;
JM9139;MS11;2005-04-15;2005-04-15;2005-04-15;
JM9139;MS18;2005-05-27;2005-05-27;2005-05-27;
JS9014;MS15;2005-07-19;2005-07-19;2005-07-19;
JS9014;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9356;MS05;2005-03-11;2005-03-11;2005-03-11;
JS9356;MS11;2005-07-01;2005-07-01;2005-07-01;
JS9356;MS18;2005-07-29;2005-07-29;2005-07-29;
JS9356;MS15;2005-10-05;2005-10-06;2005-10-05;
JM9082;MS13;2005-05-20;2005-05-20;2005-05-20;
JM9082;MS05;2004-10-22;2004-10-22;2004-10-22;
JM9082;MS11;2005-02-04;2005-02-04;2005-02-04;
JS9053;MS10;2005-06-14;2005-06-14;2005-06-14;
JS9053;MS11;2005-06-27;2005-06-27;2005-06-27;
JS9148;MS15;2005-06-09;2005-06-09;2005-06-09;
JA9040;MS10;2006-01-30;2006-01-30;2006-01-30;
JA9044;MS13;2006-07-14;2006-08-24;2006-08-24;
JA9027;MS05;2005-11-08;2005-11-08;2005-11-08;
JA9027;MS11;2006-04-24;2006-04-24;2006-04-24;
JA9022;MS13;2006-05-18;2006-05-29;2006-05-29;
JA9023;MS10;2006-03-09;2006-03-09;2006-03-09;
JA9003;MS13;2006-06-14;2006-06-28;2006-06-28;
JA9003;MS18;2006-05-28;2006-05-28;2006-05-28;
JA9010;MS10;2006-01-24;2006-01-24;2006-01-24;
JA9010;MS11;2006-05-21;2006-05-21;2006-05-21;
JA9010;MS15;2006-07-10;2006-08-23;2006-08-23;
JA9032;MS10;2006-04-19;2006-04-19;2006-04-19;
JA9032;MS11;2006-05-15;2006-05-15;2006-05-15;
JA9013;MS18;2006-05-21;2006-05-21;2006-05-21;
JA9047;MS10;2006-01-30;2006-01-30;2006-01-30;
JA9028;MS15;2006-09-12;2006-07-26;2006-07-26;
JA9028;MS13;2006-08-29;2006-07-24;2006-07-24;
JA9028;MS05;2005-11-18;2005-11-18;2005-11-18;
JA9028;MS10;2006-01-30;2006-01-30;2006-01-30;
JA9017;MS13;2006-06-21;2006-07-24;2006-07-24;
JA9017;MS11;2006-04-30;2006-04-30;2006-04-30;
JA9017;MS15;2006-07-05;2006-07-26;2006-07-26;
JA9046;MS05;2005-11-04;2005-11-04;2005-11-04;
JA9046;MS10;2006-05-18;2006-06-09;2006-06-09;
JA9015;MS13;2006-06-23;2006-09-13;2006-09-13;
JA9015;MS15;2006-07-29;2006-09-28;2006-09-28;
JA9014;MS13;2006-07-10;2006-08-23;2006-08-23;
JA9019;MS13;2006-08-28;2006-07-04;2006-07-04;
JA9019;MS18;2006-05-20;2006-05-20;2006-05-20;
JA9034;MS10;2006-04-10;2006-04-10;2006-04-10;
JA9034;MS11;2006-04-24;2006-04-24;2006-04-24;
JA9008;MS18;2006-05-28;2006-05-28;2006-05-28;
JA9011;MS05;2005-11-03;2005-11-03;2005-11-03;
JA9011;MS11;2006-05-31;2006-06-23;2006-06-23;
JA9036;MS13;2006-07-21;2006-08-15;2006-08-15;
JA9041;MS05;2005-11-24;2005-11-24;2005-11-24;
JA9041;MS11;2006-05-19;2006-05-19;2006-05-19;
JA9041;MS15;2006-06-30;2006-08-08;2006-08-08;
JA9018;MS13;2006-08-24;2006-08-09;2006-08-09;
JA9018;MS10;2006-03-20;2006-03-20;2006-03-20;
JA9035;MS10;2006-03-17;2006-03-17;2006-03-17;
JA9035;MS11;2006-04-24;2006-04-24;2006-04-24;
JA9035;MS18;2006-05-30;2006-05-31;2006-05-31;
JA9035;MS15;2006-07-25;2006-08-24;2006-08-24;
JA9048;MS11;2006-05-20;2006-05-27;2006-05-27;
JA9048;MS15;2006-07-18;2006-08-25;2006-08-25;
JA9042;MS13;2006-08-08;2006-08-16;2006-08-16;
JA9042;MS05;2005-11-24;2005-11-24;2005-11-24;
JA9042;MS11;2006-05-19;2006-05-26;2006-05-26;
JA9049;MS13;2006-07-21;2006-08-17;2006-08-17;
JA9026;MS05;2005-12-16;2005-12-16;2005-12-16;
JA9026;MS11;2006-05-28;2006-05-28;2006-05-28;
JA9026;MS18;2006-06-28;2006-06-21;2006-06-21;
JA9026;MS15;2006-07-25;2006-08-28;2006-08-28;
JA9020;MS13;2006-08-18;2006-08-18;2006-08-18;
JA9020;MS10;2006-03-03;2006-03-03;2006-03-03;
JA9020;MS18;2006-05-27;2006-06-07;2006-06-07;
JA9043;MS13;2006-07-14;2006-08-18;2006-08-18;
JA9043;MS10;2006-04-10;2006-04-14;2006-04-10;
JA9043;MS18;2006-06-26;2006-06-26;2006-06-26;
JA9043;MS15;2006-07-28;2006-08-23;2006-08-23;
JA9031;MS15;2006-07-05;2006-10-16;2006-10-16;
JA9064;MS18;2006-08-01;2006-10-20;2006-10-20;
JA9064;MS13;2006-08-14;2006-11-02;2006-11-02;
JA9079;MS11;2006-05-15;2006-05-15;2006-05-15;
JA9089;MS10;2006-04-12;2006-04-12;2006-04-12;
JA9093;MS18;2006-05-28;2006-05-31;2006-05-31;
JA9093;MS13;2006-06-09;2006-07-19;2006-07-19;
JA9081;MS10;2006-02-02;2006-02-02;2006-02-02;
JA9065;MS05;2006-02-02;2006-02-02;2006-02-02;
JA9052;MS18;2006-07-30;2006-07-30;2006-07-30;
JA9052;MS13;2006-08-14;2006-08-31;2006-08-31;
JA9052;MS15;2006-08-28;2006-09-22;2006-09-22;
JA9052;MS11;2006-06-21;2006-06-30;2006-06-30;
JA9087;MS18;2006-07-15;2006-06-30;2006-06-30;
JA9087;MS10;2006-05-25;2006-05-25;2006-05-25;
JA9087;MS05;2005-10-26;2005-10-26;2005-10-26;
JA9086;MS18;2006-07-11;2006-08-04;2006-08-04;
JA9086;MS13;2006-07-24;2006-09-15;2006-09-15;
JA9086;MS05;2005-11-07;2005-11-07;2005-11-07;
JA9058;MS11;2006-04-24;2006-04-24;2006-04-24;
JA9058;MS18;2006-06-10;2006-06-30;2006-06-30;
JA9058;MS15;2007-07-20;2006-08-31;2006-08-31;
JA9058;MS05;2006-02-02;2006-02-02;2006-02-02;
JA9056;MS11;2006-07-27;2006-09-29;2006-09-29;
JA9056;MS13;2006-09-06;2006-10-30;2006-10-30;
JA9056;MS05;2006-01-12;2006-01-12;2006-01-12;
JA9057;MS13;2006-10-13;2007-01-12;2007-01-12;
JA9057;MS15;2006-10-27;2007-01-31;2007-01-31;
JS9148;MS10;2005-03-04;2005-03-02;2005-03-04;
JS9148;MS18;2005-04-15;2005-04-06;2005-04-15;
JS9188;MS15;2005-04-14;2005-04-14;2005-04-14;
JS9103;MS13;2005-04-15;2005-04-15;2005-04-15;
JS9103;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9103;MS11;2005-03-02;2005-03-02;2005-03-02;
JS9103;MS18;2005-03-11;2005-03-11;2005-03-11;
JS9187;MS13;2005-05-25;2005-05-25;2005-05-25;
JS9187;MS05;2004-11-05;2004-11-05;2004-11-05;
JS9187;MS10;2005-02-25;2005-02-25;2005-02-25;
JS9187;MS18;2005-03-31;2005-03-30;2005-03-31;
JS9145;MS18;2005-05-27;2005-05-27;2005-05-27;
JS9145;MS15;2005-07-17;2005-07-15;2005-07-17;
JM9046;MS15;2005-06-07;2005-06-07;2005-06-07;
JM9046;MS13;2005-05-13;2005-05-13;2005-05-13;
JM9046;MS10;2005-03-03;2005-03-03;2005-03-03;
JM9104;MS13;2005-07-01;2005-07-01;2005-07-01;
JM9104;MS11;2005-02-10;2005-02-10;2005-02-10;
JM9104;MS18;2005-03-04;2005-03-04;2005-03-04;
JM9080;MS13;2005-05-13;2005-05-13;2005-05-13;
JM9080;MS10;2005-02-24;2005-02-24;2005-02-24;
JM9080;MS18;2005-03-18;2005-03-18;2005-03-18;
JM9111;MS11;2005-03-04;2005-03-04;2005-03-04;
JM9115;MS05;2004-10-29;2004-10-29;2004-10-29;
JM9116;MS18;2005-03-25;2005-03-25;2005-03-25;
JM9026;MS13;2005-06-17;2005-06-17;2005-06-17;
JM9026;MS10;2005-02-04;2005-02-04;2005-02-04;
JM9048;MS05;2004-10-27;2004-10-27;2004-10-27;
JM9048;MS11;2005-01-19;2005-01-19;2005-01-19;
JM9099;MS15;2005-08-13;2005-08-13;2005-08-13;
JM9099;MS13;2005-07-07;2005-07-07;2005-07-07;
JM9099;MS10;2005-03-18;2005-03-18;2005-03-18;
JM9099;MS18;2005-05-13;2005-05-13;2005-05-13;
JM9017;MS18;2005-03-04;2005-03-04;2005-03-04;
JM9051;MS15;2005-05-19;2005-05-19;2005-05-19;
JM9051;MS05;2004-10-28;2004-10-28;2004-10-28;
JM9051;MS10;2004-12-30;2004-12-30;2004-12-30;
JM9051;MS11;2005-01-25;2005-01-25;2005-01-25;
JM9044;MS15;2005-05-30;2005-06-03;2005-05-30;
JM9044;MS13;2005-05-06;2005-05-06;2005-05-06;
JM9044;MS05;2004-10-27;2004-10-27;2004-10-27;
JM9044;MS18;2005-03-11;2005-03-11;2005-03-11;
JM9124;MS11;2005-04-15;2005-04-15;2005-04-15;
JM9124;MS18;2005-05-06;2005-05-06;2005-05-06;
JM9146;MS15;2005-07-12;2005-07-12;2005-07-12;
JM9146;MS13;2005-07-07;2005-07-07;2005-07-07;
JM9146;MS05;2004-10-28;2004-10-28;2004-10-28;
JM9146;MS10;2005-05-03;2005-05-03;2005-05-03;
JM9020;MS15;2005-07-21;2005-07-21;2005-07-21;
JM9020;MS05;2004-10-28;2004-10-28;2004-10-28;
JM9020;MS10;2005-02-04;2005-02-04;2005-02-04;
JM9020;MS11;2005-03-04;2005-03-04;2005-03-04;
JM9034;MS10;2005-02-18;2005-02-18;2005-02-18;
JM9034;MS11;2005-03-21;2005-03-21;2005-03-21;
JM9041;MS13;2005-07-11;2005-07-11;2005-07-11;
JM9041;MS05;2004-10-26;2004-10-26;2004-10-26;
JM9041;MS10;2005-02-06;2005-02-06;2005-02-06;
JM9092;MS13;2005-07-14;2005-07-14;2005-07-14;
JM9092;MS05;2004-10-26;2004-10-26;2004-10-26;
JM9092;MS10;2005-01-21;2005-01-21;2005-01-21;
JM9092;MS11;2005-02-10;2005-02-10;2005-02-10;
JM9092;MS18;2005-03-18;2005-03-18;2005-03-18;
JM9096;MS15;2005-06-06;2005-06-06;2005-06-06;
JM9096;MS11;2005-01-25;2005-01-25;2005-01-25;
JM9096;MS18;2005-02-18;2005-02-18;2005-02-18;
JA9057;MS05;2006-02-01;2006-02-01;2006-02-01;
JA9090;MS18;2006-07-18;2006-07-25;2006-07-25;
JA9080;MS15;2006-10-26;2006-11-22;2006-11-22;
JA9080;MS10;2006-08-17;2006-10-27;2006-10-27;
JA9069;MS13;2006-07-27;2006-09-11;2006-09-11;
JA9051;MS15;2006-10-17;2007-03-07;2007-03-07;
JA9075;MS18;2008-02-01;2009-04-09;2009-04-09;
JA9075;MS10;2007-11-30;2008-06-30;2008-06-30;
JA9070;MS18;2006-06-30;2006-06-30;2006-06-30;
JA9070;MS13;2006-08-02;2006-08-29;2006-08-29;
JA9070;MS15;2006-08-16;2006-08-29;2006-08-29;
JA9070;MS10;2006-05-21;2006-06-28;2006-06-28;
JA9265;MS15;2007-12-01;2011-06-01;;
JA9265;MS10;2006-01-27;2006-01-27;2006-01-27;
JA9265;MS05;2005-10-20;2005-10-20;2005-10-20;
JA9062;MS18;2006-08-11;2006-08-04;2006-08-04;
JA9062;MS10;2006-07-02;2006-06-30;2006-06-30;
JA9094;MS11;2007-11-15;2009-04-01;2009-04-01;
JA9094;MS18;2008-02-29;2009-04-08;2009-04-08;
JA9094;MS10;2007-10-25;2008-12-01;2008-12-01;
JA9072;MS18;2006-08-25;2006-10-20;2006-10-20;
JA9072;MS11;2006-07-28;2006-09-22;2006-09-22;
JA9088;MS13;2007-12-27;2010-02-03;2010-02-03;
JA9088;MS15;2008-01-10;2010-02-12;2010-02-12;
JA9088;MS05;2006-02-02;2006-02-02;2006-02-02;
JA9092;MS18;2006-06-30;2006-07-30;2006-07-30;
JA9092;MS11;2006-05-26;2006-06-30;2006-06-30;
JA9092;MS05;2006-01-13;2006-01-13;2006-01-13;
JA9074;MS05;2006-02-03;2006-02-03;2006-02-03;
JA9078;MS13;2006-08-14;2006-08-25;2006-08-25;
JA9078;MS15;2006-08-28;2006-08-31;2006-08-31;
JA9078;MS10;2006-06-26;2006-06-30;2006-06-30;
JA9060;MS13;2006-08-04;2006-09-08;2006-09-08;
JA9060;MS11;2006-06-26;2006-06-30;2006-06-30;
JA9083;MS13;2006-08-07;2007-01-31;2007-01-31;
JA9073;MS18;2006-06-10;2006-06-23;2006-06-23;
JA9073;MS10;2006-05-10;2006-05-10;2006-05-10;
JS9913;MS11;2008-03-31;2009-07-29;2009-07-29;
JS9913;MS15;2010-06-15;2010-05-25;2010-05-25;
JA9045;MS11;2006-05-20;2006-05-20;2006-05-20;
JA9045;MS18;2006-06-12;2006-07-10;2006-07-10;
JA9046;MS13;2006-07-10;2006-11-20;2006-11-20;
JA9046;MS11;2006-05-21;2006-10-06;2006-10-06;
JA9046;MS18;2006-06-22;2006-10-30;2006-10-30;
JA9046;MS15;2006-07-24;2006-11-24;2006-11-24;
JA9015;MS10;2006-02-24;2006-02-24;2006-02-24;
JA9014;MS05;2005-11-10;2005-11-10;2005-11-10;
JA9014;MS18;2006-06-15;2006-07-14;2006-07-14;
JA9019;MS11;2006-04-24;2006-04-24;2006-04-24;
JA9019;MS15;2006-09-11;2006-07-20;2006-07-20;
JA9034;MS13;2006-06-21;2006-07-14;2006-07-14;
JA9034;MS05;2005-11-10;2005-11-10;2005-11-10;
JA9034;MS15;2006-07-05;2006-08-02;2006-08-02;
JA9008;MS13;2006-06-16;2006-07-24;2006-07-24;
JA9008;MS05;2005-11-03;2005-11-03;2005-11-03;
JA9008;MS10;2006-02-27;2006-02-27;2006-02-27;
JA9008;MS11;2006-04-19;2006-04-19;2006-04-19;
JA9011;MS13;2006-07-10;2006-08-10;2006-08-10;
JA9011;MS10;2006-03-10;2006-03-10;2006-03-10;
JA9037;MS11;2006-05-26;2006-06-23;2006-06-23;
JA9037;MS18;2006-06-20;2006-07-27;2006-07-27;
JA9036;MS11;2006-06-01;2006-06-30;2006-06-30;
JA9036;MS15;2006-08-04;2006-08-21;2006-08-21;
JA9041;MS13;2006-06-16;2006-08-19;2006-08-19;
JA9041;MS10;2006-02-09;2006-02-09;2006-02-09;
