JVSITEID;txtMS;dtmPlan;dtmForecast;dtmActual;
JS9118;MS10;2005-03-04;2005-02-28;2005-03-04;
JS9118;MS15;2005-08-27;2005-08-27;2005-08-27;
JS9227;MS11;2005-08-01;2005-08-01;2005-08-01;
JS9227;MS15;2005-10-24;2005-10-25;2005-10-24;
JS9120;MS13;2005-05-20;2005-05-20;2005-05-20;
JS9120;MS11;2005-03-21;2005-03-21;2005-03-21;
JS9122;MS15;2005-08-21;2005-08-21;2005-08-21;
JM9129;MS10;2005-06-03;2005-06-03;2005-06-03;
JS9228;MS18;2005-07-22;2005-07-21;2005-07-22;
JS9228;MS13;2005-08-12;2005-08-12;2005-08-12;
JS9228;MS15;2005-09-22;2005-09-27;2005-09-22;
JS9228;MS05;2005-03-11;2005-03-11;2005-03-11;
JS9229;MS11;2005-05-30;2005-05-30;2005-05-30;
JS9229;MS18;2005-07-22;2005-07-21;2005-07-22;
JS9229;MS13;2005-07-29;2005-07-29;2005-07-29;
JS9128;MS05;2004-12-17;2004-12-17;2004-12-17;
JS9128;MS18;2005-04-03;2005-04-01;2005-04-03;
JS9132;MS13;2005-05-31;2005-05-31;2005-05-31;
JS9132;MS05;2004-11-12;2004-11-12;2004-11-12;
JS9230;MS05;2005-03-02;2005-03-02;2005-03-02;
JS9136;MS15;2005-08-30;2005-09-03;2005-08-30;
JS9136;MS05;2004-11-12;2004-11-12;2004-11-12;
JS9136;MS18;2005-05-30;2005-05-30;2005-05-30;
JS9138;MS13;2005-05-24;2005-05-24;2005-05-24;
JS9138;MS05;2004-11-19;2004-11-19;2004-11-19;
JS9138;MS10;2005-03-18;2005-03-18;2005-03-18;
JS9138;MS11;2005-05-02;2005-05-02;2005-05-02;
JS9140;MS13;2005-06-29;2005-06-29;2005-06-29;
JS9141;MS13;2005-03-03;2005-03-03;2005-03-03;
JS9141;MS18;2005-02-17;2005-02-21;2005-02-17;
JS9142;MS13;2005-05-20;2005-05-20;2005-05-20;
JS9142;MS05;2004-11-19;2004-11-19;2004-11-19;
JS9142;MS18;2005-03-18;2005-03-18;2005-03-18;
JS9149;MS10;2005-04-15;2005-04-15;2005-04-15;
JS9150;MS15;2005-08-09;2005-08-12;2005-08-09;
JS9152;MS13;2005-06-10;2005-06-10;2005-06-10;
JS9152;MS10;2005-03-24;2005-03-24;2005-03-24;
JS9152;MS11;2005-03-29;2005-03-29;2005-03-29;
JS9153;MS13;2005-04-26;2005-04-26;2005-04-26;
JS9153;MS11;2005-03-21;2005-03-21;2005-03-21;
JS9154;MS15;2005-08-09;2005-08-18;2005-08-09;
JS9154;MS11;2005-03-21;2005-03-21;2005-03-21;
JS9155;MS10;2006-11-30;2006-12-15;2006-12-15;
JS9155;MS15;2007-01-22;2007-03-23;2007-03-23;
JS9156;MS15;2005-08-23;2005-08-23;2005-08-23;
JS9156;MS13;2005-05-12;2005-05-12;2005-05-12;
JS9156;MS05;2004-11-12;2004-11-12;2004-11-12;
JS9163;MS15;2005-08-09;2005-08-15;2005-08-09;
JS9163;MS13;2005-05-06;2005-05-06;2005-05-06;
JS9163;MS11;2005-03-19;2005-03-19;2005-03-19;
JM9133;MS05;2004-11-29;2004-11-29;2004-11-29;
JM9133;MS10;2005-03-11;2005-03-11;2005-03-11;
JS9167;MS05;2005-02-04;2005-02-04;2005-02-04;
JS9170;MS05;2004-11-19;2004-11-19;2004-11-19;
JM9134;MS10;2005-07-01;2005-07-01;2005-07-01;
JS9172;MS13;2005-03-07;2005-03-07;2005-03-07;
JS9172;MS11;2005-01-10;2005-01-10;2005-01-10;
JM9135;MS15;2005-08-14;2005-08-14;2005-08-14;
JS9177;MS15;2005-09-07;2005-09-09;2005-09-07;
JS9177;MS18;2005-06-08;2005-06-08;2005-06-08;
JS9191;MS11;2005-03-17;2005-03-17;2005-03-17;
JS9191;MS18;2005-03-24;2005-03-24;2005-03-24;
JM9137;MS15;2005-08-16;2005-08-16;2005-08-16;
JM9137;MS05;2004-11-12;2004-11-12;2004-11-12;
