jv_site_number,site_name,site_number,wa_status,work_type,program_year_build,pccs_forecast_date,pccs_actual_date,sae_forecast_date,sae_actual_date,cws_forecast_date,cws_actual_date,pc_forecast_date,pc_actual_date,tx_forecast_date,tx_actual_date,op_rfi_forecast_date,op_rfi_actual_date,WA_ID,equip_forecast_date,equip_actual_date
JM9850,Rosebud -O,M0061,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102054
JM9851,Sorrento VIC -O,M0062,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102055
JM9852,Calder Park -O,M0213,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102056
JM9853,Huntingdale2 -O,M0234,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102057
JM9854,Plenty -O,M0284,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102058
JM9855,Campbellfield East -O,M0344,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102059
JM9856,Dandenong South -O,M0367,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102060
JM9857,Hillside -O,M0410,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102061
JM9858,Broadmeadows North -O,M0529,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102062
JM9860,Dandenong East -O,M0553,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102063
JM9862,Clayton Station -O,M0624,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102064
JM9863,The Basin North -O,M0639,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102065
JM9864,Fawkner North -O,M0656,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102066
JM9865,Donvale -O,M0684,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102067
JM9866,Frankston East -O,M0690,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102068
JM9868,Narre Warren North2 -O,M0704,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102069
JM9873,Dingley Village -O,M1213,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102070
